<SIL> <SIL> SIL
<UNK> <UNK> SPN
<eps> <eps> SIL
a1 a1 a1
kuann1 kuann1 k uann1
kuann2 kuann2 k uann2
kuann5 kuann5 k uann5
kuann7 kuann7 k uann7
kuat4 kuat4 k uat4
kue1 kue1 k ue1
kue2 kue2 k ue2
kueh4 kueh4 k ueh4
kui1 kui1 k ui1
kui2 kui2 k ui2
kui3 kui3 k ui3
kui7 kui7 k ui7
kuih4 kuih4 k uih4
kuinn1 kuinn1 k uinn1
kun1 kun1 k un1
kun2 kun2 k un2
kun5 kun5 k un5
kut4 kut4 k ut4
kut8 kut8 k ut8
la7 la7 l a7
lah4 lah4 l ah4
lai5 lai5 l ai5
lai7 lai7 l ai7
lak8 lak8 l ak8
lam2 lam2 l am2
lam5 lam5 l am5
lan2 lan2 l an2
lan5 lan5 l an5
lang1 lang1 l ang1
lang5 lang5 l ang5
lap8 lap8 l ap8
lau5 lau5 l au5
lau7 lau7 l au7
lauh8 lauh8 l auh8
le2 le2 l e2
le5 le5 l e5
le7 le7 l e7
li1 li1 l i1
li2 li2 l i2
li3 li3 l i3
li7 li7 l i7
liah8 liah8 l iah8
liam5 liam5 l iam5
liam7 liam7 l iam7
lian3 lian3 l ian3
lian5 lian5 l ian5
liang7 liang7 l iang7
liap4 liap4 l iap4
liap8 liap8 l iap8
liat8 liat8 l iat8
liau2 liau2 l iau2
liau5 liau5 l iau5
liau7 liau7 l iau7
lih8 lih8 l ih8
lik8 lik8 l ik8
lim1 lim1 l im1
lim5 lim5 l im5
lin2 lin2 l in2
lin5 lin5 l in5
lin7 lin7 l in7
ling1 ling1 l ing1
ling2 ling2 l ing2
ling5 ling5 l ing5
ling7 ling7 l ing7
liok8 liok8 l iok8
liong2 liong2 l iong2
liong5 liong5 l iong5
liong7 liong7 l iong7
lip8 lip8 l ip8
lit8 lit8 l it8
liu1 liu1 l iu1
liu2 liu2 l iu2
liu3 liu3 l iu3
lo2 lo2 l o2
lo3 lo3 l o3
lo5 lo5 l o5
lo7 lo7 l o7
lok4 lok4 l ok4
lok8 lok8 l ok8
long1 long1 l ong1
long2 long2 l ong2
long3 long3 l ong3
long5 long5 l ong5
long7 long7 l ong7
loo2 loo2 l oo2
loo5 loo5 l oo5
loo7 loo7 l oo7
looh4 looh4 l ooh4
lu2 lu2 l u2
lu5 lu5 l u5
lu7 lu7 l u7
lua7 lua7 l ua7
luan5 luan5 l uan5
luan7 luan7 l uan7
luat8 luat8 l uat8
lue7 lue7 l ue7
lui2 lui2 l ui2
lui3 lui3 l ui3
lui5 lui5 l ui5
lui7 lui7 l ui7
lun5 lun5 l un5
lun7 lun7 l un7
lut4 lut4 l ut4
lut8 lut8 l ut8
m2 m2 m2
m7 m7 m7
ma1 ma1 m a1
ma2 ma2 m a2
ma3 ma3 m a3
mai3 mai3 m ai3
mai7 mai7 m ai7
mau1 mau1 m au1
mau7 mau7 m au7
mauh4 mauh4 m auh4
me2 me2 m e2
me5 me5 m e5
me7 me7 m e7
meh4 meh4 m eh4
mi1 mi1 m i1
mi2 mi2 m i2
mi5 mi5 m i5
mi7 mi7 m i7
mia7 mia7 m ia7
miau7 miau7 m iau7
mng5 mng5 m ng5
moo7 moo7 m oo7
mooh8 mooh8 m ooh8
mua2 mua2 m ua2
mua5 mua5 m ua5
muai5 muai5 m uai5
mui2 mui2 m ui2
na2 na2 n a2
na3 na3 n a3
na5 na5 n a5
na7 na7 n a7
nah4 nah4 n ah4
nauh4 nauh4 n auh4
ng1 ng1 ng1
ng3 ng3 ng3
nga2 nga2 ng a2
ngai7 ngai7 ng ai7
ngau7 ngau7 ng au7
nge7 nge7 ng e7
ngeh4 ngeh4 ng eh4
ngia5 ngia5 ng ia5
ngiau1 ngiau1 ng iau1
ngiauh8 ngiauh8 ng iauh8
ngiu2 ngiu2 ng iu2
ngoo2 ngoo2 ng oo2
ngoo5 ngoo5 ng oo5
ngoo7 ngoo7 ng oo7
ngueh4 ngueh4 ng ueh4
ni1 ni1 n i1
nia2 nia2 n ia2
nia5 nia5 n ia5
nia7 nia7 n ia7
niau1 niau1 n iau1
niau2 niau2 n iau2
niu7 niu7 n iu7
nng2 nng2 n ng2
nng3 nng3 n ng3
nng5 nng5 n ng5
nng7 nng7 n ng7
noo2 noo2 n oo2
nua2 nua2 n ua2
nua5 nua5 n ua5
nua7 nua7 n ua7
o1 o1 o1
o3 o3 o3
o5 o5 o5
oh4 oh4 oh4
oh8 oh8 oh8
ong1 ong1 ong1
ong5 ong5 ong5
onn1 onn1 onn1
onn3 onn3 onn3
oo1 oo1 oo1
oo2 oo2 oo2
oo5 oo5 oo5
oo7 oo7 oo7
ooh4 ooh4 ooh4
pa2 pa2 p a2
pa3 pa3 p a3
pa5 pa5 p a5
pah4 pah4 p ah4
pai1 pai1 p ai1
pai3 pai3 p ai3
pai5 pai5 p ai5
pai7 pai7 p ai7
painn3 painn3 p ainn3
pak4 pak4 p ak4
pak8 pak8 p ak8
pan1 pan1 p an1
pan2 pan2 p an2
pan7 pan7 p an7
pang1 pang1 p ang1
pang5 pang5 p ang5
pau1 pau1 p au1
pe1 pe1 p e1
pe2 pe2 p e2
peh4 peh4 p eh4
peh8 peh8 p eh8
penn5 penn5 p enn5
penn7 penn7 p enn7
pha1 pha1 ph a1
phah4 phah4 ph ah4
phai2 phai2 ph ai2
phai3 phai3 ph ai3
phainn7 phainn7 ph ainn7
phak8 phak8 ph ak8
phan3 phan3 ph an3
phang1 phang1 ph ang1
phang5 phang5 ph ang5
phann7 phann7 ph ann7
phau3 phau3 ph au3
phauh8 phauh8 ph auh8
phe3 phe3 ph e3
phe7 phe7 ph e7
phenn1 phenn1 ph enn1
phenn5 phenn5 ph enn5
phiah4 phiah4 ph iah4
phiak8 phiak8 ph iak8
phian1 phian1 ph ian1
phian3 phian3 ph ian3
phian5 phian5 ph ian5
phiang7 phiang7 ph iang7
phiann1 phiann1 ph iann1
phiann2 phiann2 ph iann2
phiat4 phiat4 ph iat4
phiau1 phiau1 ph iau1
phih8 phih8 ph ih8
phik4 phik4 ph ik4
phin2 phin2 ph in2
phing5 phing5 ph ing5
phinn1 phinn1 ph inn1
phinn7 phinn7 ph inn7
phio3 phio3 ph io3
phit4 phit4 ph it4
phngh4 phngh4 ph ngh4
pho1 pho1 ph o1
pho3 pho3 ph o3
pho7 pho7 ph o7
phok4 phok4 ph ok4
phok8 phok8 ph ok8
phong1 phong1 ph ong1
phong3 phong3 ph ong3
phong7 phong7 ph ong7
phoo2 phoo2 ph oo2
phoo5 phoo5 ph oo5
phu2 phu2 ph u2
phu5 phu5 ph u5
phuah4 phuah4 ph uah4
phuann1 phuann1 ph uann1
phuann3 phuann3 ph uann3
phuann7 phuann7 ph uann7
phue1 phue1 ph ue1
phue5 phue5 ph ue5
phueh8 phueh8 ph ueh8
phut4 phut4 ph ut4
pi1 pi1 p i1
pi2 pi2 p i2
pi3 pi3 p i3
pi7 pi7 p i7
piah4 piah4 p iah4
piak4 piak4 p iak4
pian1 pian1 p ian1
pian3 pian3 p ian3
pian7 pian7 p ian7
piann2 piann2 p iann2
piann3 piann3 p iann3
piat8 piat8 p iat8
piau1 piau1 p iau1
pik4 pik4 p ik4
