khiau2 1.0	kh iau2
hia1 1.0	h ia1
kang1 1.0	k ang1
tshin1 1.0	tsh in1
siong7 1.0	s iong7
bok8 1.0	b ok8
tsiu1 1.0	ts iu1
i5  1.0	i5
lui2 1.0	l ui2
oo1  1.0	oo1
la7 1.0	l a7
pue1 1.0	p ue1
niau2 1.0	n iau2
tsiah4 1.0	ts iah4
lok8 1.0	l ok8
tshiu7 1.0	tsh iu7
tsiunn1 1.0	ts iunn1
bit8 1.0	b it8
sai2 1.0	s ai2
tse7 1.0	ts e7
he2 1.0	h e2
siok8 1.0	s iok8
san1 1.0	s an1
oo5  1.0	oo5
hai2 1.0	h ai2
tsho2 1.0	tsh o2
tsua5 1.0	ts ua5
ku1 1.0	k u1
tsau2 1.0	ts au2
o5  1.0	o5
le5 1.0	l e5
kui3 1.0	k ui3
hi5 1.0	h i5
nng2 1.0	n ng2
si1 1.0	s i1
siu5 1.0	s iu5
tshi7 1.0	tsh i7
be7 1.0	b e7
tshiau1 1.0	tsh iau1
iah8  1.0	iah8
pe1 1.0	p e1
uan2  1.0	uan2
ma2 1.0	m a2
iunn5  1.0	iunn5
gu5 1.0	g u5
lit8 1.0	l it8
ki5 1.0	k i5
thann1 1.0	th ann1
tang5 1.0	t ang5
hua1 1.0	h ua1
ho5 1.0	h o5
tso7 1.0	ts o7
kuan5 1.0	k uan5
tshe1 1.0	tsh e1
put4 1.0	p ut4
to1 1.0	t o1
tsi2 1.0	ts i2
sut4 1.0	s ut4
khak4 1.0	kh ak4
pin5 1.0	p in5
tuann7 1.0	t uann7
an1  1.0	an1
kua3 1.0	k ua3
khiam7 1.0	kh iam7
siu3 1.0	s iu3
kiau1 1.0	k iau1
hi3 1.0	h i3
li1 1.0	l i1
tsian5 1.0	ts ian5
gak8 1.0	g ak8
thiong3 1.0	th iong3
tsam7 1.0	ts am7
juah8 1.0	j uah8
kiu2 1.0	k iu2
poo1 1.0	p oo1
su3 1.0	s u3
than3 1.0	th an3
ma1 1.0	m a1
pau1 1.0	p au1
thng5 1.0	th ng5
koo2 1.0	k oo2
phio3 1.0	ph io3
lauh8 1.0	l auh8
siu1 1.0	s iu1
puann5 1.0	p uann5
tho2 1.0	th o2
piau1 1.0	p iau1
hi1 1.0	h i1
hu3 1.0	h u3
uann7  1.0	uann7
siang1 1.0	s iang1
tsong2 1.0	ts ong2
sng3 1.0	s ng3
tshan1 1.0	tsh an1
giah8 1.0	g iah8
mua5 1.0	m ua5
mi7 1.0	m i7
tsan5 1.0	ts an5
jiok8 1.0	j iok8
pe2 1.0	p e2
tau2 1.0	t au2
khong3 1.0	kh ong3
gi7 1.0	g i7
ik4  1.0	ik4
thong2 1.0	th ong2
tsang5 1.0	ts ang5
tsho3 1.0	tsh o3
tiau7 1.0	t iau7
kan1 1.0	k an1
tiau5 1.0	t iau5
thiau3 1.0	th iau3
khiam3 1.0	kh iam3
lip8 1.0	l ip8
tshiu2 1.0	tsh iu2
gin5 1.0	g in5
tsi1 1.0	ts i1
tshui3 1.0	tsh ui3
sian1 1.0	s ian1
ki3 1.0	k i3
bin5 1.0	b in5
tiau1 1.0	t iau1
sok4 1.0	s ok4
pio2 1.0	p io2
mia7 1.0	m ia7
kang2 1.0	k ang2
sun5 1.0	s un5
pang1 1.0	p ang1
sui1 1.0	s ui1
jian5 1.0	j ian5
thai5 1.0	th ai5
kiann1 1.0	k iann1
hann7 1.0	h ann7
hue5 1.0	h ue5
to5 1.0	t o5
liau7 1.0	l iau7
tshat8 1.0	tsh at8
thoo2 1.0	th oo2
king3 1.0	k ing3
bang7 1.0	b ang7
kai3 1.0	k ai3
kiam3 1.0	k iam3
khioh4 1.0	kh ioh4
kau2 1.0	k au2
sin5 1.0	s in5
khok4 1.0	kh ok4
kuah4 1.0	k uah4
tshua7 1.0	tsh ua7
tiong3 1.0	t iong3
khan1 1.0	kh an1
lih8 1.0	l ih8
kai1 1.0	k ai1
si3 1.0	s i3
tau7 1.0	t au7
sin3 1.0	s in3
ki7 1.0	k i7
tiann7 1.0	t iann7
phann7 1.0	ph ann7
tsoh4 1.0	ts oh4
tshiang3 1.0	tsh iang3
phian3 1.0	ph ian3
ioh4  1.0	ioh4
piann2 1.0	p iann2
mai7 1.0	m ai7
tsap4 1.0	ts ap4
kuann2 1.0	k uann2
sia7 1.0	s ia7
tat8 1.0	t at8
pui5 1.0	p ui5
tian1 1.0	t ian1
kua2 1.0	k ua2
thing5 1.0	th ing5
thun1 1.0	th un1
puann1 1.0	p uann1
tiu7 1.0	t iu7
tann2 1.0	t ann2
un7  1.0	un7
phang5 1.0	ph ang5
heh4 1.0	h eh4
sann1 1.0	s ann1
hiannh4 1.0	h iannh4
se2 1.0	s e2
pi7 1.0	p i7
phak8 1.0	ph ak8
ia7  1.0	ia7
bun5 1.0	b un5
mng5 1.0	m ng5
lun5 1.0	l un5
sak4 1.0	s ak4
kheh4 1.0	kh eh4
too5 1.0	t oo5
nia2 1.0	n ia2
tshuan2 1.0	tsh uan2
khia5 1.0	kh ia5
sun7 1.0	s un7
sua3 1.0	s ua3
uat4  1.0	uat4
hainn3 1.0	h ainn3
seh8 1.0	s eh8
eh4  1.0	eh4
geh8 1.0	g eh8
tsiau5 1.0	ts iau5
senn3 1.0	s enn3
uah8  1.0	uah8
hiau5 1.0	h iau5
hng5 1.0	h ng5
thian1 1.0	th ian1
ko1 1.0	k o1
tng5 1.0	t ng5
hu1 1.0	h u1
pang5 1.0	p ang5
tsu1 1.0	ts u1
khng3 1.0	kh ng3
puah8 1.0	p uah8
ua2  1.0	ua2
tau1 1.0	t au1
na2 1.0	n a2
thau3 1.0	th au3
pian7 1.0	p ian7
uann2  1.0	uann2
hioh4 1.0	h ioh4
thiam2 1.0	th iam2
guan7 1.0	g uan7
kut4 1.0	k ut4
iong2  1.0	iong2
hian1 1.0	h ian1
poo3 1.0	p oo3
lim1 1.0	l im1
tan3 1.0	t an3
tam1 1.0	t am1
kiu5 1.0	k iu5
phiann1 1.0	ph iann1
tshua3 1.0	tsh ua3
tsun3 1.0	ts un3
tsham1 1.0	tsh am1
bong2 1.0	b ong2
bi7 1.0	b i7
kau7 1.0	k au7
phang1 1.0	ph ang1
